Timestamp,Age,Gender,Country,state,self_employed,family_history,treatment,work_interfere,no_employees,remote_work,tech_company,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence,comments
2014-04-13,21,Female,Germany,Not applicable,No,Yes,No,Sometimes,1-5,No,No,Yes,No,No,Yes,No,Very difficult,Don't know,Yes,No,Some of them,No,Maybe,No,Yes,
2014-12-15,35,Male,Canada,Not applicable,No,Yes,No,Never,26-100,Yes,Yes,No,No,Don't know,No,Don't know,Somewhat difficult,No,No,No,Yes,No,No,Don't know,Yes,
2014-09-28,18,Male,India,Not applicable,No,Yes,Yes,Never,1000+,No,No,No,No,Yes,Yes,Don't know,Somewhat difficult,Yes,Yes,No,No,Yes,No,No,No,
2014-04-17,45,Male,Germany,Not applicable,No,Yes,No,Sometimes,500-1000,No,Yes,Yes,No,No,Yes,No,Very easy,Yes,No,Some of them,Some of them,Maybe,Yes,Yes,No,
2014-03-13,18,Male,Netherlands,Not applicable,No,No,Yes,Never,100-500,No,Yes,Yes,Yes,Don't know,Yes,Don't know,Very easy,Yes,No,No,No,Maybe,Yes,No,Yes,
2014-07-08,30,Male,France,Not applicable,No,No,Yes,Often,26-100,Yes,Yes,Yes,Don't know,No,Yes,No,Somewhat difficult,No,Yes,No,No,Maybe,Yes,Yes,Yes,
2014-01-21,55,Female,United States,New York,No,No,Yes,Sometimes,1000+,No,No,Yes,No,No,No,Don't know,Somewhat easy,Don't know,No,Yes,Yes,No,Yes,No,Yes,
2014-04-13,18,Male,United States,Pennsylvania,No,No,No,Often,26-100,No,Yes,Yes,Yes,No,Don't know,No,Very difficult,Yes,Yes,Some of them,No,Yes,No,No,Yes,
2014-05-02,30,Male,United States,New York,No,Yes,No,Never,26-100,Yes,Yes,Don't know,No,Don't know,No,Yes,Somewhat difficult,Yes,Yes,Some of them,No,No,No,Yes,Yes,
2014-08-03,40,Female,United States,Florida,No,No,No,Sometimes,6-25,No,No,No,Yes,Don't know,Don't know,No,Very difficult,Yes,No,Some of them,No,Yes,Yes,Yes,No,
